symbol,entry_time,exit_time,days,n_events,gross_bps,net_bps,exit_reason
XRPUSDT,2020-01-09 00:00:00+00:00,2020-01-11 08:00:00+00:00,2.3333333333333335,8,7.0,-41.0,funding_decay
LINKUSDT,2020-01-24 00:00:00+00:00,2020-01-28 16:00:00+00:00,4.666666666666667,15,49.7075,1.7075000000000031,funding_decay
XRPUSDT,2020-01-31 08:00:00+00:00,2020-02-18 16:00:00+00:00,18.333333333333332,56,530.6197999999999,482.61979999999994,funding_decay
ETCUSDT,2020-02-06 00:00:00+00:00,2020-02-18 08:00:00+00:00,12.333333333333334,38,332.59079999999994,284.59079999999994,funding_decay
ADAUSDT,2020-02-06 16:00:00+00:00,2020-02-18 00:00:00+00:00,11.333333333333334,35,407.2370000000001,359.2370000000001,funding_decay
LINKUSDT,2020-02-07 08:00:00+00:00,2020-02-17 00:00:00+00:00,9.666666666666666,30,326.18739999999997,278.18739999999997,hard_flip
ZECUSDT,2020-02-07 16:00:00.001000+00:00,2020-02-18 16:00:00+00:00,10.999999988425925,34,444.1709,396.1709,funding_decay
XLMUSDT,2020-02-08 00:00:00+00:00,2020-02-18 16:00:00+00:00,10.666666666666666,33,321.6535,273.6535,funding_decay
ATOMUSDT,2020-02-09 08:00:00+00:00,2020-02-18 16:00:00+00:00,9.333333333333334,29,241.79240000000001,193.79240000000001,funding_decay
BCHUSDT,2020-02-10 08:00:00+00:00,2020-02-22 16:00:00+00:00,12.333333333333334,38,306.7371000000001,258.7371000000001,funding_decay
LTCUSDT,2020-02-10 16:00:00.009000+00:00,2020-02-22 08:00:00.001000+00:00,11.666666574074073,36,337.72209999999995,289.72209999999995,funding_decay
ETHUSDT,2020-02-10 16:00:00.009000+00:00,2020-02-29 16:00:00+00:00,18.999999895833334,58,430.9472000000002,382.9472000000002,funding_decay
TRXUSDT,2020-02-11 08:00:00+00:00,2020-02-17 00:00:00+00:00,5.666666666666667,18,148.26080000000002,100.26080000000002,funding_decay
BTCUSDT,2020-02-12 00:00:00+00:00,2020-02-20 16:00:00+00:00,8.666666666666666,27,146.7834,98.7834,funding_decay
