symbol,episodes,net_bps_total,win_rate
XLMUSDT,7,3626.3149,1.0
XRPUSDT,8,3147.7880999999998,0.875
AAVEUSDT,6,2857.4257,0.6666666666666666
ATOMUSDT,7,2831.8387999999995,0.8571428571428571
LTCUSDT,7,2540.4676000000004,1.0
ZECUSDT,5,2444.1040000000003,1.0
ADAUSDT,9,2443.2,0.8888888888888888
DOTUSDT,6,2390.6645,1.0
RLCUSDT,9,2319.583699999999,0.6666666666666666
BULLAUSDT,9,2232.5204999999996,0.8888888888888888
LINKUSDT,6,2118.7359,1.0
ETHUSDT,4,2046.0613000000003,1.0
UNIUSDT,5,1902.5123999999996,0.8
BCHUSDT,4,1742.2238,1.0
XMRUSDT,10,1738.8007,0.7
AVAXUSDT,7,1665.1604000000007,0.5714285714285714
ETCUSDT,7,1643.6589999999997,0.8571428571428571
FILUSDT,6,1561.4658000000002,0.8333333333333334
NEARUSDT,3,1545.2071,1.0
DOGEUSDT,6,1495.7354000000003,0.6666666666666666
ESPORTSUSDT,7,1469.337,0.5714285714285714
TRXUSDT,7,1452.6507000000001,1.0
BNBUSDT,8,1303.824,0.75
COTIUSDT,2,1281.1309999999996,1.0
BTCUSDT,4,1037.1552,1.0
SOLUSDT,6,900.6718000000001,0.6666666666666666
HBARUSDT,2,874.7752999999999,0.5
1000PEPEUSDT,1,544.8024,1.0
ONDOUSDT,1,370.77169999999984,1.0
FETUSDT,1,308.58200000000005,1.0
WLDUSDT,1,250.54649999999992,1.0
SUIUSDT,1,191.24790000000007,1.0
1000BONKUSDT,3,72.8487,0.3333333333333333
TRUMPUSDT,1,-30.964299999999998,0.0
KOMAUSDT,1,-37.1635,0.0
PUMPUSDT,1,-43.5,0.0
1000SHIBUSDT,3,-60.30830000000003,0.3333333333333333
