symbol,side,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,pnl_net,r_multiple,exit_reason,bars_held
BTCUSDT,-1,2020-09-08 20:00:00+00:00,2020-09-09 00:00:00+00:00,10126.65,10026.68,-0.25552726793773245,25.545060975734945,20.93329871134032,0.22328851958763007,structural_invalidation,1
BTCUSDT,1,2020-11-09 12:00:00+00:00,2020-11-14 08:00:00+00:00,15000.96,15848.312818379818,0.15237630797230672,129.11649401464538,124.76966070390657,1.3286241495071922,stop,29
BTCUSDT,1,2020-11-16 00:00:00+00:00,2020-11-18 04:00:00+00:00,16006.5,17386.219079522747,0.23958059595965375,330.55391932896464,323.05619801756177,3.407131105972042,stop,13
BTCUSDT,1,2020-12-04 00:00:00+00:00,2020-12-04 04:00:00+00:00,19162.62,19283.94,0.1422408394964023,17.256658647703485,12.319323781786633,0.12671777745827958,structural_invalidation,1
BTCUSDT,1,2020-12-06 08:00:00+00:00,2020-12-06 12:00:00+00:00,19089.16,19125.83,0.19113482124026485,7.008913894880873,0.4288121182618223,0.004406615697899227,structural_invalidation,1
BTCUSDT,1,2020-12-07 08:00:00+00:00,2020-12-07 16:00:00+00:00,19103.58,18967.01,0.20772739673757254,-28.369330572450977,-35.46127227260288,-0.3643997641576818,structural_invalidation,2
BTCUSDT,1,2020-12-07 16:00:00+00:00,2020-12-08 08:00:00+00:00,18967.01,18762.96,0.21270008341294264,-43.40145202041079,-50.58504170314346,-0.5212519123249407,structural_invalidation,4
BTCUSDT,1,2020-12-08 08:00:00+00:00,2020-12-08 12:00:00+00:00,18762.96,18809.91,0.21795925078742673,10.233186824469843,2.8535578207077767,0.029521645176373616,structural_invalidation,1
BTCUSDT,1,2021-01-11 12:00:00+00:00,2021-01-11 16:00:00+00:00,31580.0,32254.62,0.02775665594365208,18.72519523270654,17.11369053082671,0.17701146888013797,structural_invalidation,1
BTCUSDT,1,2021-02-24 16:00:00+00:00,2021-02-26 04:00:00+00:00,48959.93,45140.264247595274,0.025344106781333166,-96.80601669794666,-98.86528811695823,-1.0212721428817475,stop,9
BTCUSDT,-1,2021-03-04 20:00:00+00:00,2021-03-05 16:00:00+00:00,48374.09,49295.47,-0.03818867136228198,-35.18627801977955,-38.57482932604216,-0.40158272923143934,structural_invalidation,5
BTCUSDT,-1,2021-03-05 16:00:00+00:00,2021-03-05 20:00:00+00:00,49295.47,48751.71,-0.03773855465098401,20.520716477019143,17.20904214712408,0.17968797442040643,structural_invalidation,1
BTCUSDT,-1,2021-03-07 00:00:00+00:00,2021-03-07 04:00:00+00:00,49551.44,50052.68,-0.04510658660265746,-22.609225468715934,-26.673095449923117,-0.2781319282359843,structural_invalidation,1
BTCUSDT,-1,2021-03-08 08:00:00+00:00,2021-03-08 12:00:00+00:00,50496.82,51054.99,-0.04638347171223149,-25.88986240561617,-30.15245623759604,-0.3150699639912571,structural_invalidation,1
BTCUSDT,1,2021-03-17 08:00:00+00:00,2021-03-22 20:00:00+00:00,54840.0,54840.0,0.038850666324551086,0.0,-3.835026974229087,-0.04016799862646354,stop,33
BTCUSDT,-1,2021-03-27 20:00:00+00:00,2021-03-28 00:00:00+00:00,55817.14,56052.05,-0.04959412266390126,-11.650155354977217,-16.653889392850843,-0.17466024040303027,structural_invalidation,1
BTCUSDT,-1,2021-04-11 20:00:00+00:00,2021-04-12 00:00:00+00:00,60002.43,60368.96,-0.06581757534137904,-24.124115889875583,-31.27612532142084,-0.3284362551294373,structural_invalidation,1
BTCUSDT,1,2021-04-17 12:00:00+00:00,2021-04-17 20:00:00+00:00,60264.66,60006.66,0.05326228025004794,-13.74166830451237,-19.494633079733184,-0.2051618238028702,structural_invalidation,2
