pair,entry_time,exit_time,days,entry_z,gross_pct,net_pct,exit_reason
ADAUSDT/XRPUSDT,2020-04-30 00:00:00+00:00,2020-05-11 00:00:00+00:00,11,2.18,-13.165,-13.525,spread_blowout
BTCUSDT/XRPUSDT,2020-04-30 00:00:00+00:00,2020-05-07 00:00:00+00:00,7,2.4,-11.835,-12.195,spread_blowout
ADAUSDT/ZECUSDT,2020-05-05 00:00:00+00:00,2020-05-28 00:00:00+00:00,23,2.41,-18.922,-19.282,spread_blowout
BTCUSDT/ZECUSDT,2020-05-05 00:00:00+00:00,2020-05-07 00:00:00+00:00,2,2.76,-9.686,-10.046,spread_blowout
BTCUSDT/ETHUSDT,2020-05-06 00:00:00+00:00,2020-06-05 00:00:00+00:00,30,2.22,8.699,8.339,time_stop
ADAUSDT/BTCUSDT,2020-05-07 00:00:00+00:00,2020-05-12 00:00:00+00:00,5,-2.89,17.174,16.814,converged
BTCUSDT/ZECUSDT,2020-05-08 00:00:00+00:00,2020-06-07 00:00:00+00:00,30,2.89,7.914,7.554,time_stop
BTCUSDT/XRPUSDT,2020-05-08 00:00:00+00:00,2020-05-14 00:00:00+00:00,6,3.39,-6.26,-6.62,spread_blowout
ADAUSDT/BNBUSDT,2020-05-10 00:00:00+00:00,2020-05-28 00:00:00+00:00,18,2.7,-18.823,-19.183,spread_blowout
ADAUSDT/ETHUSDT,2020-05-10 00:00:00+00:00,2020-05-28 00:00:00+00:00,18,2.13,-13.358,-13.718,spread_blowout
ADAUSDT/BTCUSDT,2020-05-14 00:00:00+00:00,2020-05-20 00:00:00+00:00,6,-2.0,15.182,14.822,converged
ETHUSDT/XRPUSDT,2020-05-17 00:00:00+00:00,2020-05-30 00:00:00+00:00,13,2.07,-12.299,-12.659,spread_blowout
BNBUSDT/ETHUSDT,2020-05-18 00:00:00+00:00,2020-06-11 00:00:00+00:00,24,-2.06,-8.729,-9.089,spread_blowout
ADAUSDT/BTCUSDT,2020-05-28 00:00:00+00:00,2020-05-30 00:00:00+00:00,2,3.08,-15.046,-15.406,spread_blowout
ADAUSDT/ETHUSDT,2020-05-29 00:00:00+00:00,2020-06-03 00:00:00+00:00,5,2.54,-16.122,-16.482,spread_blowout
ADAUSDT/ZECUSDT,2020-05-29 00:00:00+00:00,2020-06-04 00:00:00+00:00,6,2.65,-18.208,-18.568,spread_blowout
BNBUSDT/ZECUSDT,2020-05-30 00:00:00+00:00,2020-06-23 00:00:00+00:00,24,-2.47,-13.611,-13.971,spread_blowout
XRPUSDT/ZECUSDT,2020-05-30 00:00:00+00:00,2020-06-23 00:00:00+00:00,24,-2.06,-13.123,-13.483,spread_blowout
ETHUSDT/LINKUSDT,2020-05-30 00:00:00+00:00,2020-06-24 00:00:00+00:00,25,2.26,13.012,12.652,converged
ETHUSDT/XRPUSDT,2020-05-31 00:00:00+00:00,2020-06-22 00:00:00+00:00,22,2.45,-15.41,-15.77,spread_blowout
ADAUSDT/BTCUSDT,2020-06-01 00:00:00+00:00,2020-06-02 00:00:00+00:00,1,3.5,-7.529,-7.889,spread_blowout
ADAUSDT/ETHUSDT,2020-06-04 00:00:00+00:00,2020-07-01 00:00:00+00:00,27,3.25,-15.347,-15.707,spread_blowout
ADAUSDT/ZECUSDT,2020-06-05 00:00:00+00:00,2020-07-05 00:00:00+00:00,30,2.38,-18.188,-18.548,time_stop
ADAUSDT/BTCUSDT,2020-06-06 00:00:00+00:00,2020-07-01 00:00:00+00:00,25,3.16,-18.731,-19.091,spread_blowout
BNBUSDT/ETHUSDT,2020-06-18 00:00:00+00:00,2020-07-12 00:00:00+00:00,24,-2.0,9.638,9.278,converged
ETHUSDT/ZECUSDT,2020-06-23 00:00:00+00:00,2020-07-13 00:00:00+00:00,20,-2.52,-7.039,-7.399,spread_blowout
BNBUSDT/LINKUSDT,2020-06-23 00:00:00+00:00,2020-07-02 00:00:00+00:00,9,-2.66,-6.343,-6.703,spread_blowout
ADAUSDT/ETHUSDT,2020-07-02 00:00:00+00:00,2020-07-11 00:00:00+00:00,9,2.63,-17.734,-18.094,spread_blowout
LINKUSDT/ZECUSDT,2020-07-04 00:00:00+00:00,2020-07-08 00:00:00+00:00,4,2.07,-18.666,-19.026,spread_blowout
ADAUSDT/LINKUSDT,2020-07-07 00:00:00+00:00,2020-07-08 00:00:00+00:00,1,-2.77,-25.71,-26.07,spread_blowout
ADAUSDT/LINKUSDT,2020-07-09 00:00:00+00:00,2020-07-12 00:00:00+00:00,3,-2.46,-45.81,-46.17,spread_blowout
