symbol,side,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,pnl_net,r_multiple,exit_reason,bars_held
BTCUSDT,-1,2022-09-06 00:00:00+00:00,2022-09-09 00:00:00+00:00,18790.61,20615.3936503801,-0.06260183974476864,-114.234813649969,-116.55782447520654,-1.0203354017134878,atr_stop,3
BTCUSDT,-1,2022-11-21 00:00:00+00:00,2022-12-08 00:00:00+00:00,15781.29,17224.1,-0.0668131412420408,-96.39866831542872,-98.47010152234938,-0.8686280529395266,channel_exit,17
BTCUSDT,1,2023-01-13 00:00:00+00:00,2023-02-09 00:00:00+00:00,19930.01,21796.35,0.12477724081771684,232.87675562773765,227.9813164845226,2.024048448753746,channel_exit,27
BTCUSDT,1,2023-02-15 00:00:00+00:00,2023-02-25 00:00:00+00:00,24324.05,22786.225177587996,0.07423818351608241,-114.16532138180915,-117.21021572127975,-1.0266709216302856,atr_stop,10
ETHUSDT,-1,2022-11-09 00:00:00+00:00,2022-11-10 00:00:00+00:00,1102.73,1299.9399498657624,-0.5777218757828108,-113.93250215948231,-115.28430890271694,-1.011864978979768,atr_stop,1
ETHUSDT,1,2023-01-11 00:00:00+00:00,2023-02-09 00:00:00+00:00,1389.39,1545.35,1.3282405193951434,207.1523914048663,203.4577177289012,1.7995464078607468,channel_exit,29
ETHUSDT,1,2023-02-15 00:00:00+00:00,2023-03-07 00:00:00+00:00,1674.92,1561.96,0.8009113492308568,-90.47094600911761,-92.72273069299794,-0.8103054628584285,channel_exit,20
SOLUSDT,-1,2022-11-13 00:00:00+00:00,2023-01-06 00:00:00+00:00,13.18,13.5,-21.20626786569808,-6.786005717023392,-7.301318026159856,-0.0523859258810665,channel_exit,54
SOLUSDT,1,2023-01-09 00:00:00+00:00,2023-02-09 00:00:00+00:00,16.25,20.48,52.92825325638283,223.8865112744994,221.93536414645612,1.59623100510665,channel_exit,31
BNBUSDT,1,2022-10-30 00:00:00+00:00,2022-11-09 00:00:00+00:00,313.5,293.7702000623882,6.342321508568172,-125.1327345040623,-128.48646760924,-1.0268014050717387,atr_stop,10
BNBUSDT,-1,2022-11-20 00:00:00+00:00,2022-11-23 00:00:00+00:00,264.2,301.40426985752663,-3.339017121152392,-124.22569403425531,-126.03720326565221,-1.014582403789166,atr_stop,3
BNBUSDT,1,2023-01-25 00:00:00+00:00,2023-02-13 00:00:00+00:00,306.9,294.3,4.815509925630033,-60.675425062938245,-63.2263932909415,-0.5128967485231175,channel_exit,19
AVAXUSDT,-1,2022-09-06 00:00:00+00:00,2022-09-12 00:00:00+00:00,18.21,21.649148135595578,-34.883048748008505,-119.96797206560308,-121.32731098718338,-1.0113308485437844,atr_stop,6
AVAXUSDT,-1,2022-11-17 00:00:00+00:00,2022-12-02 00:00:00+00:00,12.87,13.58,-44.56975231793424,-31.644524145733346,-32.73398717139293,-0.2749336832108716,channel_exit,15
AVAXUSDT,-1,2022-12-28 00:00:00+00:00,2023-01-08 00:00:00+00:00,11.21,12.09,-89.2893128499432,-78.57459530794993,-80.5177093341904,-0.6778307629541949,channel_exit,11
AVAXUSDT,1,2023-01-13 00:00:00+00:00,2023-02-28 00:00:00+00:00,15.96,17.09,68.61608257609655,77.53617331098903,75.42540537878314,0.6381885500151059,channel_exit,46
LINKUSDT,-1,2022-11-20 00:00:00+00:00,2022-11-26 00:00:00+00:00,5.768,7.105896952342194,-71.06523875208748,-95.07796634388824,-95.9869344181269,-1.0095602389196148,atr_stop,6
LINKUSDT,-1,2022-12-28 00:00:00+00:00,2023-01-09 00:00:00+00:00,5.675,6.065,-135.1933895215267,-52.72542191339549,-54.201328146802,-0.5743936109885915,channel_exit,12
LINKUSDT,1,2023-02-18 00:00:00+00:00,2023-03-03 00:00:00+00:00,7.989,7.085666374050105,104.02791875076555,-93.97191704515006,-95.29870987168856,-1.0141190354337564,atr_stop,13
DOGEUSDT,1,2022-10-29 00:00:00+00:00,2022-11-08 00:00:00+00:00,0.12176,0.10643849374031648,7075.2247309335935,-108.40310000366662,-109.75863727748927,-1.0125045987963148,atr_stop,10
DOGEUSDT,-1,2022-12-28 00:00:00+00:00,2023-01-10 00:00:00+00:00,0.0704,0.07782,-8345.378416236184,-61.922707848472456,-63.09169507550516,-0.5865184584915618,channel_exit,13
