symbol,side,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,pnl_net,r_multiple,exit_reason,bars_held
ETHUSDT,-1,2022-09-18 00:00:00+00:00,2022-10-23 00:00:00+00:00,1333.67,1363.44,-0.4177079176771494,-12.43516470924873,-13.460300139148648,-0.14238227833887354,channel_exit,35
SOLUSDT,-1,2022-10-19 00:00:00+00:00,2022-10-29 00:00:00+00:00,28.84,32.61566634132907,-25.064031446300774,-94.63341990981114,-96.10488406608917,-1.0155490962672635,atr_stop,10
SOLUSDT,-1,2022-11-08 00:00:00+00:00,2023-01-05 00:00:00+00:00,23.82,13.418,-15.744522188673418,163.7745198065809,163.3942518088712,1.7397065392359337,channel_exit,58
ZECUSDT,-1,2022-11-09 00:00:00+00:00,2022-11-23 00:00:00+00:00,35.17,42.717212776997854,-12.483044479721405,-94.2121927931859,-95.17202635404688,-1.0101879972475325,atr_stop,14
DOGEUSDT,-1,2022-09-15 00:00:00+00:00,2022-09-24 00:00:00+00:00,0.05856,0.06654736916961243,-11737.281451402981,-93.75,-95.15595336322949,-1.014996835874448,atr_stop,9
DOGEUSDT,-1,2022-12-28 00:00:00+00:00,2023-01-10 00:00:00+00:00,0.07034,0.07785,-6901.1925451396755,-51.827956013998985,-52.79502012534941,-0.5674424887534121,channel_exit,13
COTIUSDT,-1,2022-11-21 00:00:00+00:00,2023-01-08 00:00:00+00:00,0.06759,0.05966,-5922.81965753357,46.9679598842412,46.33192012685799,0.4937867917608906,channel_exit,48
ADAUSDT,-1,2022-10-11 00:00:00+00:00,2022-10-29 00:00:00+00:00,0.3905,0.4333541623977294,-2175.0401942331378,-93.20952570525573,-94.90613860405166,-1.01820214067134,atr_stop,18
ADAUSDT,-1,2022-12-15 00:00:00+00:00,2023-01-05 00:00:00+00:00,0.3001,0.2691,-3070.3600148870096,95.18116046149721,93.69393947748624,1.0132891730457898,channel_exit,21
1000SHIBUSDT,-1,2022-09-18 00:00:00+00:00,2022-10-28 00:00:00+00:00,0.010619,0.011708,-47414.19799745629,-51.63406161922989,-52.63328739350748,-0.5624661509041583,channel_exit,40
ZECUSDT,-1,2023-03-10 00:00:00+00:00,2023-03-18 00:00:00+00:00,32.03,37.98003499260951,-15.713519885046471,-93.49599317309186,-94.5702332362559,-1.0114896909130136,atr_stop,8
COTIUSDT,-1,2023-03-11 00:00:00+00:00,2023-03-14 00:00:00+00:00,0.06449,0.07906087907876744,-6465.055285855099,-94.20153880774086,-95.12157812528743,-1.0097667121916587,atr_stop,3
1000SHIBUSDT,-1,2023-03-09 00:00:00+00:00,2023-03-14 00:00:00+00:00,0.010075,0.01178635572292579,-54454.06848804387,-93.19028174360679,-94.34554878277596,-1.012396861749465,atr_stop,5
ZECUSDT,-1,2024-10-01 00:00:00+00:00,2024-10-10 00:00:00+00:00,26.62,30.73851523919391,-22.531294757728233,-92.79548081847354,-94.0421222035581,-1.0134342898392137,atr_stop,9
SOLUSDT,-1,2025-12-01 00:00:00+00:00,2026-01-03 00:00:00+00:00,126.57,133.31,-4.452103307484704,-30.007176292446943,-31.075494097904357,-0.32918154230501273,channel_exit,33
SOLUSDT,-1,2026-02-23 00:00:00+00:00,2026-02-25 00:00:00+00:00,77.87,90.83883012599912,-7.262215397999375,-94.18243783506898,-95.36988190664809,-1.012607913947381,atr_stop,2
1000RATSUSDT,-1,2026-02-28 00:00:00+00:00,2026-03-04 00:00:00+00:00,0.03705,0.047792738637341015,-8726.824989870971,-93.74999999999999,-94.50074195857448,-1.0080079142247946,atr_stop,4
ZECUSDT,-1,2026-01-31 00:00:00+00:00,2026-03-16 00:00:00+00:00,302.81,276.79,-1.1592906190399326,30.164741907419025,29.587157816619712,0.3212626670480563,channel_exit,44
COTIUSDT,-1,2025-12-11 00:00:00+00:00,2026-01-05 00:00:00+00:00,0.02498,0.02286,-14902.813972446827,31.59396562158728,30.98074463224904,0.33138304159092496,channel_exit,25
COTIUSDT,-1,2026-01-20 00:00:00+00:00,2026-03-15 00:00:00+00:00,0.01919,0.01298,-23512.313797185987,146.01146868052496,145.4621269809675,1.5518173416364576,channel_exit,54
ADAUSDT,-1,2025-12-01 00:00:00+00:00,2025-12-09 00:00:00+00:00,0.3853,0.4586734779536429,-1269.524771463514,-93.1494478305817,-94.19758304667756,-1.011252189256153,atr_stop,8
ADAUSDT,-1,2025-12-31 00:00:00+00:00,2026-01-02 00:00:00+00:00,0.3332,0.3859871431671161,-1751.3077187872698,-92.44653128129907,-93.66329935502526,-1.0131618575284753,atr_stop,2
ETHUSDT,-1,2026-05-31 00:00:00+00:00,2026-07-06 00:00:00+00:00,2006.31,1798.84,-0.6191043935935133,128.44558853884624,126.44098299357708,1.3388575344783167,channel_exit,36
1000RATSUSDT,-1,2026-05-28 00:00:00+00:00,2026-07-13 00:00:00+00:00,0.0313,0.03608,-15256.772442709165,-72.9273722761498,-73.9182081056691,-0.7944126252632461,channel_exit,46
COTIUSDT,-1,2026-05-24 00:00:00+00:00,2026-07-27 00:00:00+00:00,0.01227,0.010676,-57384.4490320863,91.47081175714555,90.36806627698576,0.9526590388544135,channel_exit,64
ADAUSDT,-1,2026-03-29 00:00:00+00:00,2026-05-05 00:00:00+00:00,0.2398,0.2619,-2847.2327334242045,-62.92384340867494,-64.26608586386578,-0.7004898710624763,channel_exit,37
1000SHIBUSDT,-1,2026-03-06 00:00:00+00:00,2026-03-13 00:00:00+00:00,0.005402,0.006223575323043744,-112570.61683555102,-92.48524089190138,-93.74630597536897,-1.0136353116595278,atr_stop,7
