symbol,side,entry_date,exit_date,entry_price,exit_price,size,pnl_gross,pnl_net,r_multiple,exit_reason,bars_held
BTCUSDT,1,2023-01-27 00:00:00+00:00,2023-02-09 00:00:00+00:00,23068.0,21793.4,0.07872401805908649,-100.34163341811153,-103.42982864541554,-0.91554645706581,channel_exit,13
BTCUSDT,1,2023-02-15 00:00:00+00:00,2023-02-25 00:00:00+00:00,24332.6,22759.177489346628,0.07127244777707831,-112.14167372182177,-115.06145784212745,-1.026036566277301,atr_stop,10
SOLUSDT,1,2023-01-29 00:00:00+00:00,2023-02-09 00:00:00+00:00,26.09,21.891478103583182,33.11137357138039,-139.01882695987769,-140.32356939700907,-1.0093853650305074,atr_stop,11
COTIUSDT,1,2023-01-26 00:00:00+00:00,2023-01-30 00:00:00+00:00,0.12014,0.10579291201361,6910.845935730754,-99.1505147003148,-100.46652802914788,-1.0132728844909253,atr_stop,4
BTCUSDT,1,2023-03-16 00:00:00+00:00,2023-04-21 00:00:00+00:00,24990.4,27252.5,0.050890825664404685,115.12013673544976,112.62371272789522,1.012389778052939,channel_exit,36
BTCUSDT,-1,2023-05-12 00:00:00+00:00,2023-05-28 00:00:00+00:00,26785.1,28055.7,-0.050383372185620105,-64.01711269904902,-66.5614860940996,-0.5941364487962263,channel_exit,16
BTCUSDT,-1,2023-06-05 00:00:00+00:00,2023-06-20 00:00:00+00:00,25714.7,27506.00214367154,-0.06227867096535974,-111.55991680526333,-114.6433838680041,-1.0276395604357003,atr_stop,15
BTCUSDT,1,2023-06-21 00:00:00+00:00,2023-07-18 00:00:00+00:00,29988.5,29845.6,0.05373221132569902,-7.6783329984424675,-10.564939153858576,-0.09541598713180181,channel_exit,27
BTCUSDT,-1,2023-08-16 00:00:00+00:00,2023-10-01 00:00:00+00:00,28714.4,27981.4,-0.09079536787252147,66.55300465055824,61.97995793869953,0.560529158804803,channel_exit,46
ETHUSDT,1,2023-03-17 00:00:00+00:00,2023-04-24 00:00:00+00:00,1789.21,1841.19,0.6603435887687447,34.32465974419936,32.136187322230136,0.2935452533839538,channel_exit,38
ETHUSDT,-1,2023-06-10 00:00:00+00:00,2023-06-21 00:00:00+00:00,1750.64,1881.1986225107996,-0.8399058856219567,-109.65695546551581,-112.50100909664313,-1.025935916413635,atr_stop,11
ETHUSDT,1,2023-06-30 00:00:00+00:00,2023-08-02 00:00:00+00:00,1933.41,1839.07,0.7831337013057366,-73.88083338118331,-76.47326123409192,-0.7027358162623499,channel_exit,33
SOLUSDT,1,2023-07-11 00:00:00+00:00,2023-08-02 00:00:00+00:00,22.05,23.135,50.26183078841935,54.53408640543504,52.44103298591289,0.3801412986305409,channel_exit,22
